siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,latitude,longitude
5441373,15,544137300015,O,,NN,,,2019-11-14T14:00:14,True,1,,,,,,4360,MOUSTIERS-SAINTE-MARIE,,,4135,,,,,,,,,,,,,,,,,,,1987-06-10,F,,,,,81.21,NAP,N,43.839043,6.213687
5441399,10,544139900010,O,,NN,,,2019-11-14T14:00:14,True,1,,,,,,4170,LA MURE-ARGENS,,,4136,,,,,,,,,,,,,,,,,,,1989-03-11,F,,,,,69.12,NAP,N,43.98695,6.529637
5441407,11,544140700011,O,,NN,,,,True,1,,,,RUE,BASSE,4140,SEYNE,,,4205,,,,,,,,,,,,,,,,,,,1992-12-31,F,,,,,93.0D,NAF1993,N,44.350833,6.356271
5441449,13,544144900013,O,,,,,2020-01-24T10:20:03,True,1,,,,,,4800,GREOUX-LES-BAINS,,,4094,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,43.746535,5.851758
5441548,12,544154800012,O,,NN,,,,True,1,,39.0,,RUE,DE L HUBAC,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,,F,,,,,64.49,NAP,N,44.092455,6.23557
5441589,16,544158900016,O,,,,,,True,1,,,,PL,DR ITARD,4700,ORAISON,,,4143,,,,,,,,,,,,,,,,,,,1990-06-08,F,,,,,59.08,NAP,N,43.917181,5.919122
5441597,19,544159700019,O,,,,,,True,1,,,,BD,GASSENDI,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.45,NAP,N,44.091724,6.232651
5441613,14,544161300014,O,,,,,2019-11-14T14:00:14,True,1,,,,,,4160,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.44,NAP,N,44.082535,5.998113
5441621,17,544162100017,O,,,,,2019-09-04T16:11:16,True,1,,,,,,4700,PUIMICHEL,,,4156,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,43.971819,6.018239
5441662,11,544166200011,O,,,,,,True,1,,,,PL,MARCHE,4210,VALENSOLE,,,4230,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N,43.836778,5.983045
5450010,11,545001000011,O,,,,,2019-11-14T14:00:14,True,1,,,,,,4160,CHATEAU-ARNOUX-SAINT-AUBAN,,,4049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,44.082535,5.998113
5450051,15,545005100015,O,,,,,,True,1,,,,QUAI,DE LA BONNETTE,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,44.089829,6.223534
5450093,17,545009300017,O,1900-01-01,NN,,,,False,4,,5.0,,ALL,L GARDIOL,4500,RIEZ,,,4166,,,,,,,,,,,,,,,,,,,2001-02-20,F,,,,,60.2B,NAF1993,O,43.817106,6.093517
5450093,25,545009300025,O,1991-01-01,,,,2011-01-28T08:54:07,False,4,,,,QUAI,STE ANNE,4500,RIEZ,,,4166,,,,,,,,,,,,,,,,,,,2010-12-31,F,,,,,45.20A,NAFRev2,N,43.400163,5.062358
5450093,33,545009300033,O,2001-02-20,NN,,,2022-04-26T17:31:51,True,8,LE PASSY,,,AV,DES THERMES,4800,GREOUX-LES-BAINS,,,4094,,,,,,,,,,,,,,,,,,,2022-02-15,F,PASSIONNEMENT GLAMOUR,,,PASSIONNEMENT GLAMOUR,47.78C,NAFRev2,O,43.757935,5.892445
5450093,41,545009300041,O,2011-04-12,NN,,,2022-03-03T04:02:09,False,2,,36.0,,RUE,GRANDE,4800,GREOUX-LES-BAINS,,,4094,,,,,,,,,,,,,,,,,,,2022-02-15,F,PASSIONNEMENT GLAMOUR,,,PASSIONNEMENT GLAMOUR,47.71Z,NAFRev2,O,43.758532,5.883429
5450093,58,545009300058,O,2015-02-01,NN,,,2019-11-14T14:00:14,False,3,,27.0,,RUE,GRANDE,4800,GREOUX-LES-BAINS,,,4094,,,,,,,,,,,,,,,,,,,2016-12-31,F,,,,,47.71Z,NAFRev2,O,43.758555,5.883652
5450101,26,545010100026,O,,,,,2023-01-12T08:41:56,True,1,,4.0,,BD,LA FERRAGE,13860,PEYROLLES-EN-PROVENCE,,,13074,,,,,,,,,,,,,,,,,,,1988-09-26,F,,,,,18.11,NAP,N,43.643997,5.582546
5450119,10,545011900010,O,1986-03-24,NN,,,,False,3,,63.0,,BD,GASSENDI,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,1994-05-01,F,LE GRAND CAFE,,,,92.3H,NAF1993,,44.092557,6.234475
5450119,28,545011900028,O,1994-05-01,NN,,,2021-12-24T09:10:14,True,4,ROUTE DE MARSEILLE,,,,SAINT CHRISTOPHE,4000,DIGNE-LES-BAINS,,BP 9,4070,,,,,,,,,,,,,,,,,,,2021-12-01,F,,,,,70.10Z,NAFRev2,N,44.076324,6.187397
5450119,36,545011900036,O,1994-05-01,,,,2021-12-20T19:38:48,False,7,,3.0,,BD,GASSENDI,4000,DIGNE-LES-BAINS,,,4070,,,,,,,,,,,,,,,,,,,2021-12-01,F,,,,,56.30Z,NAFRev2,N,44.091361,6.231843
5470018,10,547001800010,O,,,,,2019-11-14T14:00:38,True,1,,,,AV,DU MARCHE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,55.40,NAP,N,47.285115,-2.394585
5470075,10,547007500010,O,,,,,,True,1,,13.0,,RUE,DU CENTRE,44510,LE POULIGUEN,,,44135,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N,47.276766,-2.429052
5470190,17,547019000017,O,,,,,,True,1,,,,RUE,DE KERVENEL,44490,LE CROISIC,,,44049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.12,NAP,N,47.291603,-2.510717
5470208,17,547020800017,O,,NN,,,2019-11-14T14:00:39,True,1,,105.0,,AV,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,2000-02-05,F,,,,,64.11,NAP,N,47.284109,-2.211105
5470430,17,547043000017,O,,NN,,,,True,1,,2.0,,RUE,CHARLES BRUNELIERE,44570,TRIGNAC,,,44210,,,,,,,,,,,,,,,,,,,,F,,,,,62.43,NAP,N,47.316801,-2.187761
5470455,14,547045500014,O,,,,,2019-11-14T14:00:38,True,1,,,,LD,LA BOSSE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.41,NAP,N,47.283316,-2.322477
5470489,13,547048900013,O,,,,,,True,1,,,,LD,LE PONT DENYON,44480,DONGES,,,44052,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,86.06,NAP,N,47.344535,-2.080457
5470620,13,547062000013,O,,,,,2019-11-14T14:00:39,True,1,,17.0,,RUE,DES CHANTIERS,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1993-03-31,F,,,,,55.4B,NAF1993,N,47.290563,-2.193914
5470653,14,547065300014,O,,,,,2019-11-14T14:00:39,True,1,,23.0,,BD,LEON GAMBETTA,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1993-08-16,F,,,,,52.1B,NAF1993,N,47.276839,-2.217579
5470927,20,547092700020,O,,,,,,True,1,,,,AV,DE LA FORET,44300,NANTES,,,44109,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.14,NAP,N,47.243238,-1.576922
5470943,19,547094300019,O,,,,,,True,1,,,,,,44130,BLAIN,,,44015,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.03,NAP,N,47.462685,-1.779969
5470984,13,547098400013,O,,,,,2022-03-28T10:32:03,True,1,,,,AV,DE VERA CRUZ,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,40.32,NAP,N,47.270453,-2.213148
5471065,10,547106500010,O,,,,,,True,1,,1.0,,PL,DU GENERAL D ARGENCE,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,67.04,NAP,N,47.449086,-2.31747
5471115,13,547111500013,O,,NN,,,2020-12-23T11:25:44,True,1,,45.0,,RUE,DE LA PAIX ET DES ARTS,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N,47.277168,-2.213689
5471214,14,547121400014,O,,NN,,,,True,1,,8.0,,PL,DE L HOTEL DE VILLE,44260,SAVENAY,,,44195,,,,,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N,47.359442,-1.94358
5471420,17,547142000017,O,,,,,2019-11-14T14:00:39,True,1,,,,BD,DE VERDUN,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N,47.271413,-2.204128
5471438,19,547143800019,O,,,,,,True,1,,,,,BEAULIEU,44160,PONTCHATEAU,,,44129,,,,,,,,,,,,,,,,,,,1995-08-31,F,,,,,70.2C,NAF1993,N,47.450129,-2.127491
5471495,19,547149500019,O,,,,,,True,1,,,,RUE,DE VERDUN,44260,SAVENAY,,,44195,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,55.72,NAP,N,47.359413,-1.941426
5471578,12,547157800012,O,,,,,,True,1,,,,PL,DE L EGLISE,44130,LE GAVRE,,,44062,,,,,,,,,,,,,,,,,,,1987-09-30,F,,,,,67.04,NAP,N,47.519811,-1.747136
5471594,19,547159400019,O,,,,,,True,1,,,,PL,DE L'EGLISE,44530,GUENROUET,,,44068,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N,47.519477,-1.954529
5471602,10,547160200010,O,,,,,2019-11-14T14:00:39,True,1,,,,RUE,DE PORNICHET,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,81.21,NAP,N,47.271609,-2.212781
5471628,15,547162800015,O,,,,,,True,1,,22.0,,RUE,GREGOIRE ORAIN,44460,FEGREAC,,,44057,,,,,,,,,,,,,,,,,,,1992-06-30,F,,,,,85.1J,NAF1993,N,47.584288,-2.044739
5471685,15,547168500015,O,,,,,,True,1,,,,RTE,DE NANTES,44160,PONTCHATEAU,,,44129,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N,47.436948,-2.088235
5471743,12,547174300012,O,,,,,2019-11-14T14:00:39,True,1,,,,AV,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.12,NAP,N,47.275291,-2.213183
5471768,19,547176800019,O,,,,,2019-11-14T14:00:38,True,1,,,,AV,DES IBIS,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,40.32,NAP,N,47.285144,-2.395626
5471784,16,547178400016,O,,NN,,,2019-11-14T14:00:38,True,1,,,,RUE,HOTEL VILLE,44290,GUEMENE-PENFAO,,,44067,,,,,,,,,,,,,,,,,,,1988-08-31,F,,,,,15.8C,NAF1993,N,47.628506,-1.83468
5471800,10,547180000010,O,1900-01-01,,,,2019-11-14T14:00:38,False,4,,145.0,,AV,DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1997-04-30,F,LA BAULE AMEUBLEMENT,,,,52.4H,NAF1993,N,47.286274,-2.391763
5471800,28,547180000028,O,1900-01-01,NN,,,2023-05-05T20:26:43,True,4,,,,RTE,DE LA BAULE,44350,GUERANDE,,,44069,,,,,,,,,,,,,,,,,,,2016-12-25,F,,,,,68.20B,NAFRev2,N,47.296713,-2.404831
5471842,12,547184200012,O,,NN,,,,True,1,,,,PL,ABB CORBILLE,44130,BOUVRON,,,44023,,,,,,,,,,,,,,,,,,,,F,,,,,62.44,NAP,N,47.417354,-1.845941
5471891,19,547189100019,O,,,,,2019-11-14T14:00:38,True,1,,,,,ESP BENOIT,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.46,NAP,N,47.277687,-2.417697
5471941,12,547194100012,O,,,,,2019-11-14T14:00:38,True,1,,,,AV,DONIZETTI,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.06,NAP,N,47.279521,-2.367051
5471958,16,547195800016,O,,NN,,,2019-11-14T14:00:38,True,1,,15.0,,AV,GEORGES CLEMENCEAU,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,67.08,NAP,N,47.287365,-2.389885
5472014,17,547201400017,O,,,,,,True,1,,,,RTE,DE VANNES,44160,PONTCHATEAU,,,44129,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.03,NAP,N,47.43561,-2.094119
5472022,28,547202200028,O,,,,,,True,1,,,,BD,OCEANIDES,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1987-07-09,F,,,,,86.09,NAP,N,47.267112,-2.347622
5472063,14,547206300014,O,,NN,,,2019-11-14T14:00:38,True,1,,163.0,B,,MAYUN,44410,LA CHAPELLE-DES-MARAIS,,,44030,,,,,,,,,,,,,,,,,,,1990-06-30,F,,,,,54.08,NAP,N,47.444284,-2.259379
5472238,20,547223800020,O,1900-01-01,NN,,,2006-11-29T06:19:16,True,3,,,,,LE BOURG,44630,PLESSE,,,44128,,,,,,,,,,,,,,,,,,,2006-06-30,F,,,,,70.2C,NAFRev1,N,47.548322,-1.890718
5472253,11,547225300011,O,,NN,,,2019-11-14T14:00:38,True,1,,276.0,,AV,MAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,,F,,,,,67.08,NAP,N,47.282749,-2.409354
5472261,14,547226100014,O,,NN,,,,True,1,,,,,LA VILLES DAVAUD,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1996-09-30,F,,,,,37.2Z,NAF1993,N,47.256212,-2.324976
5472683,19,547268300019,O,,,,,2019-11-14T14:00:38,True,1,,,,,BOURG,44530,SAINT-GILDAS-DES-BOIS,,,44161,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N,47.50659,-2.043261
5472857,19,547285700019,O,,NN,,,2019-11-14T14:00:38,True,1,,,,,BOURG,44160,SAINTE-ANNE-SUR-BRIVET,,,44152,,,,,,,,,,,,,,,,,,,1990-03-27,F,,,,,22.01,NAP,N,47.461254,-2.022937
5472873,16,547287300016,O,,,,,,True,1,,,,AV,DE MAZY,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N,47.272986,-2.355432
5472980,19,547298000019,O,1954-01-01,,,,2008-01-04T17:54:11,True,6,,,,,BOURG,44360,CORDEMAIS,,,44045,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N,47.315227,-1.838491
5473020,13,547302000013,O,,NN,,,2019-11-14T14:00:38,True,1,,10.0,,BD,COURCELLES,44290,GUEMENE-PENFAO,,,44067,,,,,,,,,,,,,,,,,,,,F,,,,,55.71,NAP,N,47.631187,-1.832817
5473152,48,547315200048,O,1998-01-01,NN,,,2019-11-14T14:00:15,True,1,,3.0,,ALL,DE LA COLLE LONGUE,6270,VILLENEUVE-LOUBET,,,6161,,,,,,,,,,,,,,,,,,,2001-10-04,F,,,,,70.2A,NAF1993,N,43.638655,7.121757
5473202,17,547320200017,O,1900-01-01,,,,2006-12-15T00:14:43,False,3,,2.0,,PL,ARISTIDE BRIAND,44220,COUERON,,,44047,,,,,,,,,,,,,,,,,,,1992-04-30,F,,,,,52.2C,NAF1993,,47.210785,-1.727918
5473202,25,547320200025,O,1992-05-01,NN,,,2023-05-05T20:26:43,True,4,,5.0,,RUE,DU DOCTEUR JANVIER,44220,COUERON,,,44047,,,,,,,,,,,,,,,,,,,2020-12-25,F,,,,,68.20B,NAFRev2,N,47.210791,-1.725507
5473244,27,547324400027,O,,NN,,,,True,1,,40.0,B,AV,GEORGES CLEMENCEAU,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1997-12-29,F,,,,,70.2C,NAF1993,N,47.26843,-2.339402
5473285,12,547328500012,O,,NN,,,2019-11-14T14:00:39,True,1,,29.0,,RUE,DU MAINE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1993-09-30,F,,,,,52.4Z,NAF1993,N,47.276563,-2.2113
5473327,12,547332700012,O,,NN,,,,True,1,,8.0,,,Q DE LA PETITE CHAMBRE,44490,LE CROISIC,,,44049,,,,,,,,,,,,,,,,,,,,F,,,,,57.07,NAP,N,47.294199,-2.510663
5473418,19,547341800019,O,1954-01-01,NN,,,2006-10-26T23:33:47,True,3,,,,LD,VILLE BERTHE,44460,FEGREAC,,,44057,,,,,,,,,,,,,,,,,,,2006-05-09,F,,,,,70.2C,NAFRev1,N,47.578171,-2.057299
5473442,19,547344200019,O,,,,,2019-11-14T14:00:39,True,1,,,,RTE,DE LA COTE D AMOUR,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.30,NAP,N,47.262074,-2.23999
5473822,38,547382200038,O,,,,,2018-08-17T13:00:15,True,1,,,,IMP,STE ELISABETH,44260,SAVENAY,,,44195,,,,,,,,,,,,,,,,,,,,F,,,,,35.01,NAP,N,47.359776,-1.944371
5473921,12,547392100012,O,,NN,,,2019-11-14T14:00:39,True,1,,88.0,,AV,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N,47.281797,-2.211405
5473939,14,547393900014,O,,,,,,True,1,,,,RUE,DU TRAICT,44490,LE CROISIC,,,44049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,87.06,NAP,N,47.292105,-2.509353
5473988,11,547398800011,O,,,,,,True,1,,,,,Q ST PIERRE,44420,LA TURBALLE,,,44211,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N,47.347615,-2.511252
5474200,10,547420000010,O,,NN,,,,True,1,,,,AV,DE LA MONNERAYE,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,1988-06-01,F,,,,,69.12,NAP,N,47.449207,-2.315479
5474440,12,547444000012,O,1954-01-01,NN,,,2019-11-14T14:00:38,True,4,,31.0,,BD,DE LA LIBERATION,44360,SAINT-ETIENNE-DE-MONTLUC,,,44158,,,,,,,,,,,,,,,,,,,2003-08-31,F,,,,,70.2C,NAFRev1,N,47.278129,-1.782428
5474481,16,547448100016,O,,NN,,,2019-11-14T14:00:39,True,1,,71.0,,AV,ALBERT DE MUN,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N,47.27874,-2.213851
5474507,18,547450700018,O,,,,,2019-11-14T14:00:38,True,1,,,,ALL,DES PETRELS,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,87.01,NAP,N,47.284874,-2.395988
5474564,19,547456400019,O,,,,,,True,1,,,,BD,DE LA LIBERATION,44220,COUERON,,,44047,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N,47.21544,-1.68035
5474598,17,547459800017,O,,NN,,,,True,1,,8.0,,AV,DES PINS,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1993-08-31,F,,,,,55.3A,NAF1993,N,47.246998,-2.317143
5474630,18,547463000018,O,,NN,,,2019-11-14T14:00:39,True,1,,32.0,,AV,DU GENERAL DE GAULLE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1994-06-29,F,,,,,70.2C,NAF1993,N,47.273966,-2.210349
5474747,10,547474700010,O,,NN,,,,True,1,,,,LD,LE DRESNY,44630,PLESSE,,,44128,,,,,,,,,,,,,,,,,,,,F,,,,,55.71,NAP,N,47.579193,-1.963632
5474770,12,547477000012,O,,,,,2019-11-14T14:00:39,True,1,,,,RUE,DE TRIGNAC,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N,47.29056,-2.19462
5474945,10,547494500010,O,,,,,,True,1,,,,RTE,ROUTE DE ST GILDAS,44530,GUENROUET,,,44068,,,,,,,,,,,,,,,,,,,,F,,,,,67.08,NAP,N,47.518874,-2.039542
5474960,19,547496000019,O,1954-01-01,NN,,,2022-10-12T04:02:03,True,5,,86.0,,RUE,JEAN GUTENBERG,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,2022-10-04,F,,,,,68.20B,NAFRev2,N,47.281009,-2.231985
5475215,17,547521500017,O,,NN,,,,True,1,,,,LD,LANCE,44630,PLESSE,,,44128,,,,,,,,,,,,,,,,,,,,F,,,,,67.04,NAP,N,47.537754,-1.926151
5475314,18,547531400018,O,,NN,,,,True,1,,1.0,,RUE,DE LA GARE,44510,LE POULIGUEN,,,44135,,,,,,,,,,,,,,,,,,,,F,,,,,67.07,NAP,N,47.280192,-2.430936
5480066,124,548006600124,O,1994-06-29,,,,,True,1,,7.0,,RTE,DE POMPIERRE,44100,NANTES,,,44109,,,,,,,,,,,,,,,,,,,2000-07-01,F,,,,,71.2A,NAF1993,N,47.196053,-1.615765
5480082,14,548008200014,O,1954-01-01,NN,,,2019-11-14T14:00:39,True,4,,,,,DISSIGNAC,44600,SAINT-NAZAIRE,,BP 115,44184,,,,,,,,,,,,,,,,,,,1998-12-31,F,,,,,45.1A,NAF1993,O,47.273791,-2.282296
5480165,17,548016500017,O,,,,,2019-11-14T14:00:38,True,1,,,,AV,DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.01,NAP,N,47.2822,-2.392377
5480231,17,548023100017,O,1900-01-01,NN,,,2019-11-14T14:00:38,True,4,,220.0,,AV,MAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1991-12-25,F,,,,,64.22,NAP,N,47.286438,-2.39327
5480256,14,548025600014,O,,NN,,,2019-11-14T14:00:38,True,1,,6.0,,RUE,DU POULIGUEN,44740,BATZ-SUR-MER,,,44010,,,,,,,,,,,,,,,,,,,,F,,,,,86.04,NAP,N,47.271178,-2.444482
5480546,18,548054600018,O,1958-01-01,NN,,,2021-05-04T15:55:59,True,6,,,,,LENIPHEN,44350,GUERANDE,,,44069,,,,,,,,,,,,,,,,,,,2018-04-25,A,,,,,17.12Z,NAFRev2,N,47.288711,-2.438898
5480546,59,548054600059,O,1992-01-01,NN,,,,False,4,IMMEUBLE LE LUTECIEN,322.0,,BD,JEAN JACQUES BOSC,33130,BEGLES,,,33039,,,,,,,,,,,,,,,,,,,1998-12-31,F,SODIPA,,,,74.1J,NAF1993,O,44.814737,-0.552644
5480546,67,548054600067,O,2006-11-30,NN,,,2015-12-09T04:29:33,False,5,ZI,,,,MONTCOUPOT,51210,MONTMIRAIL,,,51380,,,,,,,,,,,,,,,,,,,2014-01-22,F,,,,,17.21B,NAFRev2,N,48.883751,3.525664
5510037,12,551003700012,O,,NN,,,,True,1,,1.0,,RUE,HOHON,80510,LONG,,,80486,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,64.11,NAP,N,50.039913,1.980219
5510060,14,551006000014,O,,NN,,,2019-11-14T14:01:01,True,1,,2.0,,RTE,DE FEUQUIERES,80210,TOURS-EN-VIMEU,,,80765,,,,,,,,,,,,,,,,,,,1987-06-23,F,,,,,57.02,NAP,N,50.033607,1.672004
5510086,19,551008600019,O,,,,,,True,1,,,,,,80150,CANCHY,,,80167,,,,,,,,,,,,,,,,,,,1987-05-31,F,,,,,38.40,NAP,N,50.186673,1.879133
5510102,14,551010200014,O,,NN,,,,True,1,,142.0,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1989-08-30,F,,,,,82.06,NAP,N,50.111441,1.82887
5510326,19,551032600019,O,,NN,,,2019-11-14T14:01:01,True,1,,,,,,80135,SAINT-RIQUIER,,,80716,,,,,,,,,,,,,,,,,,,1990-10-05,F,,,,,67.04,NAP,N,50.131233,1.940802
5510367,13,551036700013,O,,NN,,,,True,1,,,,HAM,DE BELLEFONTAINE,80490,BAILLEUL,,,80051,,,,,,,,,,,,,,,,,,,1996-08-10,F,,,,,67.05,NAP,N,50.029133,1.851353
5510490,13,551049000013,O,,NN,,,,True,1,,,,,,80120,QUEND,,,80649,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,64.24,NAP,N,50.325296,1.599266
5510508,20,551050800020,O,,NN,,,,True,1,,,,RUE,DU 11 NOVEMBRE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N,49.988588,1.567608
5510532,53,551053200053,O,,,,,,True,1,,691.0,,RUE,D ABBEVILLE,80000,AMIENS,,,80021,,,,,,,,,,,,,,,,,,,1988-09-22,F,,,,,64.47,NAP,N,49.91196,2.242326
5510623,27,551062300027,O,,NN,,,,True,1,,7.0,,RUE,SAINT ANTOINE,80510,LONG,,,80486,,,,,,,,,,,,,,,,,,,1993-06-30,F,,,,,55.2C,NAF1993,N,50.039581,1.979771
5510631,12,551063100012,O,,NN,,,2019-11-14T14:01:00,True,1,,13.0,,RUE,ROGER SALENGRO,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,1994-03-31,F,,,,,52.1B,NAF1993,N,50.0611,1.611791
5510722,19,551072200019,O,,,,,,True,1,,,,,,80135,ONEUX,,,80609,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.49,NAP,N,50.146906,1.976703
5510854,10,551085400010,O,,,,,,True,1,,,,RUE,JEAN DE PONTHIEU,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N,50.106642,1.832958
5511027,12,551102700012,O,,,,,,True,1,,15.0,,RUE,DU MARAIS,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,56.02,NAP,N,50.269721,1.67583
5511050,14,551105000014,O,,NN,,,2019-11-14T14:01:00,True,1,,8.0,,RTE,DE BERCK,80120,FORT-MAHON-PLAGE,,,80333,,,,,,,,,,,,,,,,,,,1984-03-20,F,,,,,67.08,NAP,N,50.34135,1.57445
