siren,siret,adresse,postcode,city
5511167,551116700016,  ,80150,DOMPIERRE-SUR-AUTHIE
5511183,551118300021,41  RUE,80100,ABBEVILLE
5511225,551122500012,  RUE,80132,CAMBRON
5511357,551135700013,27  RUE,80100,ABBEVILLE
5511415,551141500019,11  RUE,80510,LONGPRE-LES-CORPS-SAINTS
5511449,551144900018,  RUE,80132,HAUTVILLERS-OUVILLE
5511456,551145600013,62  RUE,80220,GAMACHES
5511464,551146400017,259  RTE,80100,ABBEVILLE
5511472,551147200010,24  RUE,80100,ABBEVILLE
5511530,551153000015,8  RUE,80120,RUE
5511688,551168800011,33  RUE,80120,QUEND
5511738,551173800014,  RUE,80135,SAINT-RIQUIER
5511845,551184500017,10  RUE,80550,LE CROTOY
5511944,551194400018,  ,80570,DARGNIES
5512025,551202500015,  RUE,80100,ABBEVILLE
5512066,551206600019,3  RUE,80210,FEUQUIERES-EN-VIMEU
5512231,551223100019,  ,80150,LE BOISLE
5512363,551236300010,  ,80132,LE TITRE
5512447,551244700011,  RUE,80210,FEUQUIERES-EN-VIMEU
5512645,551264500010,  RUE,80140,HUPPY
5512678,551267800011,  PL,80550,LE CROTOY
5512686,551268600014,8  RUE,80550,LE CROTOY
5512710,551271000012,9  RTE,80135,SAINT-RIQUIER
5512728,551272800014,  RUE,80150,YVRENCHEUX
5515309,551530900010,  RUE,80120,QUEND
5520028,552002800019,  RUE,80570,DARGNIES
5520036,552003600012,220  RUE,80100,ABBEVILLE
5520077,552007700016,13  RUE,80210,FEUQUIERES-EN-VIMEU
5520119,552011900016,74  BD,80100,ABBEVILLE
5520119,552011900024,27  RUE,80100,ABBEVILLE
5520119,552011900032,  ,80870,MOYENNEVILLE
5520119,552011900040,  ,80490,BAILLEUL
5520119,552011900057,17  RUE,80100,ABBEVILLE
5520135,552013500012,253  RUE,80100,ABBEVILLE
5520135,552013500020,32  PL,59800,LILLE
5520135,552013500038,70  RUE,01220,DIVONNE-LES-BAINS
5520176,552017600016,50  RUE,80210,FEUQUIERES-EN-VIMEU
5520176,552017600032,  ,80210,CHEPY
5520200,552020000014,4  RUE,80220,GAMACHES
5520234,552023400021,  ,80210,FEUQUIERES-EN-VIMEU
5520242,552024200016,3  RUE,80510,LONGPRE-LES-CORPS-SAINTS
5520242,552024200032,55  BD,75001,PARIS 1
5520242,552024200040,88  RUE,93100,MONTREUIL
5520242,552024200057,14  RUE,93500,PANTIN
5520242,552024200065,14  RUE,93500,PANTIN
5520242,552024200073,1  AV,78190,TRAPPES
5520242,552024200081,4  RUE,80510,LONGPRE-LES-CORPS-SAINTS
5520259,552025900010,  CHS,80100,ABBEVILLE
5520309,552030900013,  RUE,80100,ABBEVILLE
5520325,552032500019,12  RUE,80570,DARGNIES
5520325,552032500027,36  AV,75018,PARIS 18
5520408,552040800047,52  RUE,75008,PARIS 8
5520408,552040800054,17  RUE,75008,PARIS 8
5520416,552041600016,60  QUAI,80100,ABBEVILLE
5520424,552042400010,  RUE,80100,ABBEVILLE
5520432,552043200013,58  RUE,80220,GAMACHES
5520440,552044000016,2  RUE,80100,ABBEVILLE
5520465,552046500039,  RUE,59100,ROUBAIX
5520507,552050700012,  ,80120,RUE
5540034,554003400013,  PL,04000,DIGNE-LES-BAINS
5540083,554008300010,  RUE,04500,RIEZ
5540091,554009100013,  AV,04200,SISTERON
5540125,554012500019,  PL,04160,CHATEAU-ARNOUX-SAINT-AUBAN
5540273,554027300025,7  PL,04330,BARREME
5540307,554030700013,  HAM,04400,ENCHASTRAYES
5540315,554031500016,44  BD,04000,DIGNE-LES-BAINS
5540349,554034900015,  RUE,04360,MOUSTIERS-SAINTE-MARIE
5540372,554037200017,2  PL,04200,SISTERON
5540380,554038000010,49  BD,04000,DIGNE-LES-BAINS
5540422,554042200010,9  ALL,04700,ORAISON
5540448,554044800015,  ,04350,MALIJAI
5540455,554045500010,  ,04350,MALIJAI
5540497,554049700012,47  RUE,04400,BARCELONNETTE
5540539,554053900029,  PL,04210,VALENSOLE
5540547,554054700014,  ,04120,CASTELLANE
5540554,554055400010,  RUE,04210,VALENSOLE
5540612,554061200016,  ,04200,SISTERON
5540646,554064600014,  PL,04120,CASTELLANE
5540661,554066100021,34  BD,04000,DIGNE-LES-BAINS
5540828,554082800018,6  PL,04200,SISTERON
5540836,554083600011,  ,04210,VALENSOLE
5540844,554084400015,  ,04500,QUINSON
5540869,554086900012,7  RUE,04200,SISTERON
5540885,554088500018,  PL,04700,ORAISON
5540901,554090100013,  ,04360,MOUSTIERS-SAINTE-MARIE
5540968,554096800012,7  RUE,04000,DIGNE-LES-BAINS
5540976,554097600015,  BD,04000,DIGNE-LES-BAINS
5541016,554101600019,  ,04000,DIGNE-LES-BAINS
5541032,554103200016,  ,04140,AUZET
5541040,554104000019,  ,04530,LA CONDAMINE-CHATELARD
5541065,554106500016,  ,04140,SEYNE
5541073,554107300010,  RTE,04600,CHATEAU-ARNOUX-SAINT-AUBAN
5541123,554112300013,  ,04170,THORAME-HAUTE
5541206,554120600016,  RUE,04320,ENTREVAUX
5541206,554120600024,  QUA,04320,ENTREVAUX
5541248,554124800018,  ,04250,LE CAIRE
5541255,554125500013,  ,04800,GREOUX-LES-BAINS
5541263,554126300017,  ,04370,BEAUVEZER
5541305,554130500016,  ,04340,MEOLANS-REVEL
5541347,554134700018,  ,04500,MONTAGNAC-MONTPEZAT
5541347,554134700026,  ,04500,RIEZ
5541362,554136200017,  ,04700,ORAISON
5541412,554141200010,2  ,04000,DIGNE-LES-BAINS
5541438,554143800023,  RUE,04000,DIGNE-LES-BAINS
5541495,554149500015,  ,04240,ANNOT
5541529,554152900011,  ,04170,SAINT-ANDRE-LES-ALPES
5541545,554154500017,  ,04360,MOUSTIERS-SAINTE-MARIE
5541552,554155200013,  ,04370,BEAUVEZER
5541552,554155200021,  ,04260,ALLOS
5541552,554155200039,  ,04260,ALLOS
5541560,554156000016,37  RUE,04400,BARCELONNETTE
5541610,554161000035,  RUE,04200,SISTERON
5541669,554166900015,  ,04000,DIGNE-LES-BAINS
5541677,554167700018,20  RUE,04400,BARCELONNETTE
5541685,554168500011,15  RUE,04000,DIGNE-LES-BAINS
5541701,554170100016,  ,04530,LA CONDAMINE-CHATELARD
5541735,554173500014,35  BD,04000,DIGNE-LES-BAINS
5541750,554175000013,  ,04370,COLMARS
5541776,554177600018,  ,04170,SAINT-ANDRE-LES-ALPES
5541842,554184200018,  RUE,04000,DIGNE-LES-BAINS
5541867,554186700023,  QUAI,83460,LES ARCS
5541909,554190900015,  BD,04190,LES MEES
5541982,554198200020,32  BD,04000,DIGNE-LES-BAINS
5542113,554211300013,  ,04400,ENCHASTRAYES
5542162,554216200010,  ,04340,MEOLANS-REVEL
5542212,554221200013,  QUAI,04400,ENCHASTRAYES
5542261,554226100010,  ,04340,SAINT VINCENT LES FORTS
5542345,554234500011,  RUE,04190,LES MEES
5542394,554239400019,1  PL,04000,DIGNE-LES-BAINS
5542410,554241000013,  RUE,04200,SISTERON
5550017,555001700015,  AV,04200,SISTERON
5550025,555002500018,34  ALL,04000,DIGNE-LES-BAINS
5550025,555002500026,  RUE,04000,DIGNE-LES-BAINS
5550058,555005800019,  QUA,04200,PEIPIN
5550058,555005800027,155  ALL,13290,AIX-EN-PROVENCE
5550066,555006600012,  QUAI,04200,SISTERON
5550082,555008200027,  ,04120,CASTELLANE
5550082,555008200035,519  AV,83300,DRAGUIGNAN
5550108,555010800012,  PL,04140,SEYNE
5550116,555011600023,  ,04400,UVERNET-FOURS
5550124,555012400019,  RTE,04600,CHATEAU-ARNOUX-SAINT-AUBAN
5550157,555015700019,  PL,04000,DIGNE-LES-BAINS
5550207,555020700012,  ,04000,DIGNE-LES-BAINS
5550231,555023100012,  ,04700,ORAISON
5550256,555025600019,  ,04210,VALENSOLE
5570122,557012200019,85  AV,44500,LA BAULE-ESCOUBLAC
5570296,557029600011,26  RUE,44600,SAINT-NAZAIRE
5570338,557033800011,  RUE,44130,BLAIN
5570361,557036100013,13  AV,44600,SAINT-NAZAIRE
5570387,557038700018,  RUE,44600,SAINT-NAZAIRE
5570445,557044500014,5  AV,44500,LA BAULE-ESCOUBLAC
5570452,557045200010,  RUE,44600,SAINT-NAZAIRE
5570569,557056900011,37  RUE,44290,GUEMENE-PENFAO
5570593,557059300011,  ,44750,CAMPBON
5570601,557060100012,  LD,44630,PLESSE
5570650,557065000027,31  BD,44600,SAINT-NAZAIRE
5570718,557071800014,  AV,44500,LA BAULE-ESCOUBLAC
5570783,557078300018,142  AV,44380,PORNICHET
5570882,557088200026,13  RUE,44740,BATZ-SUR-MER
5570916,557091600022,  AV,44600,SAINT-NAZAIRE
5570957,557095700018,  ,44750,CAMPBON
5571104,557110400016,  ,44350,GUERANDE
5571187,557118700011,1  RUE,44420,LA TURBALLE
5571195,557119500022,  RUE,44290,GUEMENE-PENFAO
5571344,557134400018,  CITE,44220,COUERON
5571385,557138500011,  AV,44500,LA BAULE-ESCOUBLAC
5571435,557143500014,  RUE,44480,DONGES
5571450,557145000013,27  RTE,44130,BLAIN
5571534,557153400014,  PL,44290,GUEMENE-PENFAO
5571559,557155900011,175  RUE,44600,SAINT-NAZAIRE
5571591,557159100014,  RUE,44600,SAINT-NAZAIRE
5571641,557164100017,  LD,44360,CORDEMAIS
5571674,557167400018,  ,44290,PIERRIC
5571682,557168200011,24  RUE,44260,SAVENAY
5571708,557170800014,2  RUE,44350,GUERANDE
5571716,557171600017,  PL,44290,GUEMENE-PENFAO
5571781,557178100011,98  AV,44600,SAINT-NAZAIRE
5571799,557179900013,  ,44360,VIGNEUX-DE-BRETAGNE
5571807,557180700014,1  AV,44480,DONGES
5571823,557182300011,  RUE,44130,BLAIN
5571831,557183100014,  ,44160,SAINTE-ANNE-SUR-BRIVET
5571880,557188000011,10  RUE,44510,LE POULIGUEN
5571930,557193000014,2  PL,44350,GUERANDE
5571955,557195500011,6  RUE,44160,PONTCHATEAU
5571971,557197100018,  LD,44350,GUERANDE
5572029,557202900014,11  RUE,44130,BOUVRON
5572037,557203700017,  RUE,44600,SAINT-NAZAIRE
5572086,557208600014,  LD,44460,FEGREAC
5572102,557210200019,4  ,44490,LE CROISIC
5572110,557211000012,15  AV,44500,LA BAULE-ESCOUBLAC
5572185,557218500014,  BD,44220,COUERON
5572193,557219300018,  RUE,44130,BLAIN
5572235,557223500017,2  RUE,44490,LE CROISIC
5572268,557226800018,  RUE,44600,SAINT-NAZAIRE
5572326,557232600014,19  RUE,44720,SAINT-JOACHIM
5572466,557246600026,[ND] [ND] [ND],[ND],LE CROISIC
5572490,557249000018,107  RTE,44160,PONTCHATEAU
5572607,557260700025,17  RUE,44720,SAINT-JOACHIM
5572615,557261500010,  LD,44480,DONGES
5572680,557268000014,  AV,44500,LA BAULE-ESCOUBLAC
5572706,557270600017,57  AV,44600,SAINT-NAZAIRE
5572714,557271400011,8  BD,44740,BATZ-SUR-MER
5572789,557278900013,  LD,44290,MASSERAC
5572920,557292000014,  AV,44380,PORNICHET
5573035,557303500010,  ,44350,GUERANDE
5573100,557310000012,  ,44160,PONTCHATEAU
5573183,557318300018,4  QUAI,44420,PIRIAC-SUR-MER
5573373,557337300015,23  BD,44600,SAINT-NAZAIRE
5573415,557341500014,1  RUE,44410,LA CHAPELLE-DES-MARAIS
5573522,557352200017,10  PL,44130,BLAIN
5573720,557372000017,  LD,44410,HERBIGNAC
5573761,557376100011,  AV,44380,PORNICHET
5573779,557377900013,  BD,44220,COUERON
5573811,557381100014,  LD,44380,PORNICHET
5573878,557387800013,  RUE,44350,GUERANDE
5573969,557396900010,  LD,44530,SEVERAC
5574017,557401700017,1  RUE,44570,TRIGNAC
5574025,557402500010,  ,44460,FEGREAC
5574058,557405800029,  ,44600,SAINT-NAZAIRE
5574132,557413200014,26  AV,44500,LA BAULE-ESCOUBLAC
5574173,557417300018,  RUE,44600,SAINT-NAZAIRE
5574249,557424900024,  PL,44480,DONGES
5574389,557438900010,  AV,44500,LA BAULE-ESCOUBLAC
5574405,557440500014,  AV,44500,LA BAULE-ESCOUBLAC
5574454,557445400012,  ,44160,PONTCHATEAU
5574488,557448800010,  RUE,44130,LE GAVRE
5574546,557454600015,  RUE,44600,SAINT-NAZAIRE
5574678,557467800016,10  RUE,44160,PONTCHATEAU
5574736,557473600012,  LD,44460,SAINT-NICOLAS-DE-REDON
5574793,557479300013,6  RUE,44600,SAINT-NAZAIRE
5574942,557494200016,  RUE,44350,GUERANDE
5574975,557497500016,  AV,44380,PORNICHET
5575170,557517000013,  LD,44410,ASSERAC
5575188,557518800015,  ,44130,BLAIN
5575246,557524600011,21  RUE,44260,SAVENAY
5575360,557536000010,  AV,44500,LA BAULE-ESCOUBLAC
5575386,557538600015,  BD,44600,SAINT-NAZAIRE
5575485,557548500015,  LD,44420,MESQUER
5575485,557548500023,  BD,44420,MESQUER
5575501,557550100019,59  RUE,44220,COUERON
5575535,557553500017,  RUE,44360,SAINT-ETIENNE-DE-MONTLUC
5575543,557554300011,  BD,44500,LA BAULE-ESCOUBLAC
5575741,557574100011,  ,44530,GUENROUET
5575832,557583200018,  AV,44600,SAINT-NAZAIRE
5575899,557589900017,  AV,44600,SAINT-NAZAIRE
5575907,557590700018,  ,44750,QUILLY
5576053,557605300010,11  RUE,44600,SAINT-NAZAIRE
5576145,557614500014,36  RUE,44600,SAINT-NAZAIRE
5576160,557616000013,36  AV,44600,SAINT-NAZAIRE
5576178,557617800015,  AV,44500,LA BAULE-ESCOUBLAC
5576186,557618600018,2  RUE,44160,PONTCHATEAU
5576194,557619400012,  ,44117,SAINT-ANDRE-DES-EAUX
5576210,557621000016,  RUE,44220,COUERON
5576236,557623600011,22  RUE,44480,DONGES
5576244,557624400015,  LD,44260,MALVILLE
5576319,557631900015,  AV,44600,SAINT-NAZAIRE
5576343,557634300015,  PL,44130,BLAIN
5576376,557637600015,24  ESP,44500,LA BAULE-ESCOUBLAC
5576699,557669900010,  AV,44600,SAINT-NAZAIRE
5576798,557679800010,78  RUE,44600,SAINT-NAZAIRE
5576814,557681400015,14  AV,44480,DONGES
5576889,557688900017,2  BD,44600,SAINT-NAZAIRE
5576913,557691300015,  PL,44220,COUERON
5576962,557696200012,19  RUE,44360,LE TEMPLE-DE-BRETAGNE
5577028,557702800011,  ,44130,FAY-DE-BRETAGNE
5577051,557705100021,14  BD,44380,PORNICHET
5577119,557711900018,  ,44550,MONTOIR-DE-BRETAGNE
5577143,557714300018,  AV,44500,LA BAULE-ESCOUBLAC
5577168,557716800015,61  AV,44600,SAINT-NAZAIRE
5577200,557720000016,108  RUE,44720,SAINT-JOACHIM
5577325,557732500029,32  RUE,44350,GUERANDE
5580055,558005500019,8  RUE,44510,LE POULIGUEN
5580071,558007100016,88  AV,44600,SAINT-NAZAIRE
5580113,558011300032,30  AV,44600,SAINT-NAZAIRE
5580113,558011300040,13  AV,44570,TRIGNAC
5580121,558012100019,101  QUAI,44600,SAINT-NAZAIRE
5580121,558012100035,2  RUE,29200,BREST
5580121,558012100043,  BD,76120,LE GRAND-QUEVILLY
5580121,558012100068,  RUE,76200,DIEPPE
5580121,558012100100,15  BD,75116,PARIS 16
5580121,558012100126,  RUE,76600,LE HAVRE
5580121,558012100134,  RTE,59140,DUNKERQUE
5580147,558014700030,  RUE,44600,SAINT-NAZAIRE
5580154,558015400036,10  RUE,44100,NANTES
5580204,558020400013,  ,44360,SAINT-ETIENNE-DE-MONTLUC
5580212,558021200016,32  AV,44600,SAINT-NAZAIRE
5580238,558023800011,  AV,44500,LA BAULE-ESCOUBLAC
5580261,558026100013,9  RUE,44160,PONTCHATEAU
5580295,558029500011,33  AV,44500,LA BAULE-ESCOUBLAC
5580329,558032900018,  AV,44600,SAINT-NAZAIRE
5580345,558034500022,40  BD,44380,PORNICHET
