siren,siret,adresse,postcode,city,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
5410667,541066700017,,80132,MAREUIL-CAUBERT,50.07646,1.824671,Mareuil-Caubert,0.46902807095343674,0.44373976284584976,municipality,80512,,Mareuil-Caubert,,80132,Mareuil-Caubert,"80, Somme, Hauts-de-France",80512,,,,ok
5410675,541067500010,,80270,ALLERY,49.964032,1.89614,Allery,0.3379581818181818,0.29830698564593305,municipality,80019,,Allery,,80270,Allery,"80, Somme, Hauts-de-France",80019,,,,ok
5410717,541071700010,27 RUE SAINT JEAN,80135,SAINT-RIQUIER,50.134902,1.949948,27 Rue Saint Jean 80135 Saint-Riquier,0.6152354066985645,0.38857625344352614,housenumber,80716_0515_00027,27,27 Rue Saint Jean,Rue Saint Jean,80135,Saint-Riquier,"80, Somme, Hauts-de-France",80716,,,,ok
5410733,541073300017,17 PETITE RUE NOTRE DAME,80100,ABBEVILLE,50.105173,1.828251,Petite Rue Notre - Dame 80100 Abbeville,0.5969309090909091,,street,80001_1420,,Petite Rue Notre - Dame,Petite Rue Notre - Dame,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5410741,541074100010, AV DE LA GARE,80120,QUEND,50.319601,1.643634,10 Rue de la Gare 80120 Quend,0.49026810760667894,0.42095902097902094,housenumber,80649_0840_00010,10,10 Rue de la Gare,Rue de la Gare,80120,Quend,"80, Somme, Hauts-de-France",80649,,,,ok
5410758,541075800014, CHS MARCADE,80100,ABBEVILLE,50.111441,1.82887,Chaussée Marcadé 80100 Abbeville,0.46834676767676764,,street,80001_1240,,Chaussée Marcadé,Chaussée Marcadé,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5410816,541081600010,3 RUE DE L ARQUET,80370,HIERMONT,50.195616,2.07755,3 Rue de l'Arquet 80370 Hiermont,0.5687344055944055,,housenumber,80440_0002_00003,3,3 Rue de l'Arquet,Rue de l'Arquet,80370,Hiermont,"80, Somme, Hauts-de-France",80440,,,,ok
5410857,541085700014,37 RUE PIERRE SAUVAGE,80100,ABBEVILLE,50.109434,1.830523,37 Rue Pierre Sauvage 80100 Abbeville,0.6307690430622008,,housenumber,80001_1540_00037,37,37 Rue Pierre Sauvage,Rue Pierre Sauvage,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5410873,541087300029,9 RUE CHARLES DE GAULLE,80220,GAMACHES,49.983919,1.560852,9 Rue Charles de Gaulle 80220 Gamaches,0.6344691222570532,,housenumber,80373_0110_00009,9,9 Rue Charles de Gaulle,Rue Charles de Gaulle,80220,Gamaches,"80, Somme, Hauts-de-France",80373,,,,ok
5410899,541089900024,21 BD VOLTAIRE,80100,ABBEVILLE,50.104202,1.824151,21 Boulevard Voltaire 80100 Abbeville,0.4998005642633228,,housenumber,80001_2270_00021,21,21 Boulevard Voltaire,Boulevard Voltaire,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5410949,541094900019,35 PL MAX LEJEUNE,80100,ABBEVILLE,50.10651,1.833741,35 Place Max Lejeune 80100 Abbeville,0.5525914992025518,,housenumber,80001_0970_00035,35,35 Place Max Lejeune,Place Max Lejeune,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5410980,541098000014,,80132,MIANNAY,50.099591,1.722324,Miannay,0.3546848760330578,0.30779234672304434,municipality,80546,,Miannay,,80132,Miannay,"80, Somme, Hauts-de-France",80546,,,,ok
5411053,541105300019, RUE D ABBEVILLE,80870,MOYENNEVILLE,50.068487,1.783991,19 Rue d’Abbeville 80870 Moyenneville,0.6440660606060605,,housenumber,80578_fmopny_00019,19,19 Rue d’Abbeville,Rue d’Abbeville,80870,Moyenneville,"80, Somme, Hauts-de-France",80578,,,,ok
5411236,541123600010, RUE DU MOULIN,80220,MAISNIERES,50.01214,1.608515,10 Rue du Moulin Visse 80220 Maisnières,0.5508614285714285,0.41232576329331044,housenumber,80500_0210_00010,10,10 Rue du Moulin Visse,Rue du Moulin Visse,80220,Maisnières,"80, Somme, Hauts-de-France",80500,,,,ok
5411343,541134300014, RUE DU GENERAL LECLERC,80150,CRECY-EN-PONTHIEU,50.25424,1.885694,Rue du Général de Gaulle 80150 Crécy-en-Ponthieu,0.5049496969696969,0.47662192032686407,street,80222_0410,,Rue du Général de Gaulle,Rue du Général de Gaulle,80150,Crécy-en-Ponthieu,"80, Somme, Hauts-de-France",80222,80222,Crécy-en-Ponthieu,,ok
5411434,541143400011,,80120,FAVIERES,50.238663,1.67506,Favières,0.37044903743315505,0.3642727484143763,municipality,80303,,Favières,,80120,Favières,"80, Somme, Hauts-de-France",80303,,,,ok
5411483,541148300018,,80150,CRECY-EN-PONTHIEU,50.246042,1.873489,Crécy-en-Ponthieu,0.49292536997885833,0.45645727272727266,municipality,80222,,Crécy-en-Ponthieu,,80150,Crécy-en-Ponthieu,"80, Somme, Hauts-de-France",80222,,,,ok
5411582,541158200017,47 CHS DU BOIS,80100,ABBEVILLE,50.108202,1.837494,Chaussée du Bois 80100 Abbeville,0.4432133014354066,0.3006479614325069,street,80001_0210,,Chaussée du Bois,Chaussée du Bois,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5411699,541169900019,,80150,CRECY-EN-PONTHIEU,50.246042,1.873489,Crécy-en-Ponthieu,0.49292536997885833,0.45645727272727266,municipality,80222,,Crécy-en-Ponthieu,,80150,Crécy-en-Ponthieu,"80, Somme, Hauts-de-France",80222,,,,ok
5411806,541180600010, RUE ALFRED FRANCOIS,80100,ABBEVILLE,50.108407,1.836114,10 Rue Alfred Francois 80100 Abbeville,0.669136611570248,,housenumber,80001_0040_00010,10,10 Rue Alfred Francois,Rue Alfred Francois,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5411954,541195400018, RUE JULES VERNE,80550,LE CROTOY,50.216038,1.628259,18 Rue Jules Verne 80550 Le Crotoy,0.6308716577540108,,housenumber,80228_0580_00018,18,18 Rue Jules Verne,Rue Jules Verne,80550,Le Crotoy,"80, Somme, Hauts-de-France",80228,,,,ok
5411962,541196200011,,80150,DOMVAST,50.203314,1.917962,Domvast,0.3521857851239669,0.314651645021645,municipality,80250,,Domvast,,80150,Domvast,"80, Somme, Hauts-de-France",80250,,,,ok
5411996,541199600019,10 AV DE LA GARE,80100,ABBEVILLE,50.102936,1.82516,10 Avenue de la Gare 80100 Abbeville,0.533297990430622,0.4615512280701754,housenumber,80001_0800_00010,10,10 Avenue de la Gare,Avenue de la Gare,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420013,542001300012,264 CHS D HOCQUET,80100,ABBEVILLE,50.107469,1.825546,Chaussée d'Hocquet 80100 Abbeville,0.46042757575757576,,street,80001_0950,,Chaussée d'Hocquet,Chaussée d'Hocquet,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420021,542002100015,17 RUE DES LINGERS,80100,ABBEVILLE,50.10699,1.834597,17 Rue des Lingers 80100 Abbeville,0.6117419191919192,,housenumber,80001_1190_00017,17,17 Rue des Lingers,Rue des Lingers,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420021,542002100023, RUE TUROLD,76630,ENVERMEU,49.89922,1.261251,Rue Turold 76630 Envermeu,0.5326575757575758,,street,76235_0142,,Rue Turold,Rue Turold,76630,Envermeu,"76, Seine-Maritime, Normandie",76235,,,,ok
5420021,542002100031,134 RUE HENRI BARBUSSE,80130,FRIVILLE-ESCARBOTIN,50.085953,1.54476,Rue Henri Barbusse 80130 Friville-Escarbotin,0.6325299465240641,,street,80368_0640,,Rue Henri Barbusse,Rue Henri Barbusse,80130,Friville-Escarbotin,"80, Somme, Hauts-de-France",80368,,,,ok
5420021,542002100049,52 RUE VENTOSE,80100,ABBEVILLE,50.102552,1.864846,52 Rue Ventose 80100 Abbeville,0.5841390909090908,,housenumber,80001_2235_00052,52,52 Rue Ventose,Rue Ventose,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420021,542002100056,21 B BD DES PRES,80100,ABBEVILLE,50.100179,1.832619,21b Boulevard des Prés 80100 Abbeville,0.4736185394932935,0.2976225061425061,housenumber,80001_1770_00021_b,21b,21b Boulevard des Prés,Boulevard des Prés,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420039,542003900017,3 PL DU PILORI,80100,ABBEVILLE,50.107486,1.835181,3 Place du Pilori 80100 Abbeville,0.5272641077441077,,housenumber,80001_1560_00003,3,3 Place du Pilori,Place du Pilori,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
5420047,542004700010,114 CHS MARCADE,80100,ABBEVILLE,50.111441,1.82887,Chaussée Marcadé 80100 Abbeville,0.44048191222570526,,street,80001_1240,,Chaussée Marcadé,Chaussée Marcadé,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
