siren,siret,adresse,postcode,city
5471891,547189100019, ESP BENOIT,44500,LA BAULE-ESCOUBLAC
5471941,547194100012, AV DONIZETTI,44500,LA BAULE-ESCOUBLAC
5471958,547195800016,15 AV GEORGES CLEMENCEAU,44500,LA BAULE-ESCOUBLAC
5472014,547201400017, RTE DE VANNES,44160,PONTCHATEAU
5472022,547202200028, BD OCEANIDES,44380,PORNICHET
5472063,547206300014,163 B MAYUN,44410,LA CHAPELLE-DES-MARAIS
5472238,547223800020, LE BOURG,44630,PLESSE
5472253,547225300011,276 AV MAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC
5472261,547226100014, LA VILLES DAVAUD,44380,PORNICHET
5472683,547268300019, BOURG,44530,SAINT-GILDAS-DES-BOIS
5472857,547285700019, BOURG,44160,SAINTE-ANNE-SUR-BRIVET
5472873,547287300016, AV DE MAZY,44380,PORNICHET
5472980,547298000019, BOURG,44360,CORDEMAIS
5473020,547302000013,10 BD COURCELLES,44290,GUEMENE-PENFAO
5473152,547315200048,3 ALL DE LA COLLE LONGUE,6270,VILLENEUVE-LOUBET
5473202,547320200017,2 PL ARISTIDE BRIAND,44220,COUERON
5473202,547320200025,5 RUE DU DOCTEUR JANVIER,44220,COUERON
5473244,547324400027,40 B AV GEORGES CLEMENCEAU,44380,PORNICHET
5473285,547328500012,29 RUE DU MAINE,44600,SAINT-NAZAIRE
5473327,547332700012,8 Q DE LA PETITE CHAMBRE,44490,LE CROISIC
5473418,547341800019, LD VILLE BERTHE,44460,FEGREAC
5473442,547344200019, RTE DE LA COTE D AMOUR,44600,SAINT-NAZAIRE
5473822,547382200038, IMP STE ELISABETH,44260,SAVENAY
5473921,547392100012,88 AV DE LA REPUBLIQUE,44600,SAINT-NAZAIRE
5473939,547393900014, RUE DU TRAICT,44490,LE CROISIC
5473988,547398800011, Q ST PIERRE,44420,LA TURBALLE
5474200,547420000010, AV DE LA MONNERAYE,44410,HERBIGNAC
5474440,547444000012,31 BD DE LA LIBERATION,44360,SAINT-ETIENNE-DE-MONTLUC
5474481,547448100016,71 AV ALBERT DE MUN,44600,SAINT-NAZAIRE
5474507,547450700018, ALL DES PETRELS,44500,LA BAULE-ESCOUBLAC
5474564,547456400019, BD DE LA LIBERATION,44220,COUERON
5474598,547459800017,8 AV DES PINS,44380,PORNICHET
5474630,547463000018,32 AV DU GENERAL DE GAULLE,44600,SAINT-NAZAIRE
5474747,547474700010, LD LE DRESNY,44630,PLESSE
5474770,547477000012, RUE DE TRIGNAC,44600,SAINT-NAZAIRE
5474945,547494500010, RTE ROUTE DE ST GILDAS,44530,GUENROUET
5474960,547496000019,86 RUE JEAN GUTENBERG,44600,SAINT-NAZAIRE
5475215,547521500017, LD LANCE,44630,PLESSE
5475314,547531400018,1 RUE DE LA GARE,44510,LE POULIGUEN
5480066,548006600124,7 RTE DE POMPIERRE,44100,NANTES
5480082,548008200014, DISSIGNAC,44600,SAINT-NAZAIRE
5480165,548016500017, AV DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC
5480231,548023100017,220 AV MAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC
5480256,548025600014,6 RUE DU POULIGUEN,44740,BATZ-SUR-MER
5480546,548054600018, LENIPHEN,44350,GUERANDE
5480546,548054600059,322 BD JEAN JACQUES BOSC,33130,BEGLES
5480546,548054600067, MONTCOUPOT,51210,MONTMIRAIL
5510037,551003700012,1 RUE HOHON,80510,LONG
5510060,551006000014,2 RTE DE FEUQUIERES,80210,TOURS-EN-VIMEU
5510086,551008600019,,80150,CANCHY
5510102,551010200014,142 CHS MARCADE,80100,ABBEVILLE
5510326,551032600019,,80135,SAINT-RIQUIER
5510367,551036700013, HAM DE BELLEFONTAINE,80490,BAILLEUL
5510490,551049000013,,80120,QUEND
5510508,551050800020, RUE DU 11 NOVEMBRE,80220,GAMACHES
5510532,551053200053,691 RUE D ABBEVILLE,80000,AMIENS
5510623,551062300027,7 RUE SAINT ANTOINE,80510,LONG
5510631,551063100012,13 RUE ROGER SALENGRO,80210,FEUQUIERES-EN-VIMEU
5510722,551072200019,,80135,ONEUX
5510854,551085400010, RUE JEAN DE PONTHIEU,80100,ABBEVILLE
5511027,551102700012,15 RUE DU MARAIS,80120,RUE
5511050,551105000014,8 RTE DE BERCK,80120,FORT-MAHON-PLAGE
5511100,551110000017, CHS MARCADE,80100,ABBEVILLE
5511142,551114200019,53 RUE PIERRE CURIE,80210,FEUQUIERES-EN-VIMEU
5511167,551116700016,,80150,DOMPIERRE-SUR-AUTHIE
5511183,551118300021,41 RUE DU LIEUTENANT CARON,80100,ABBEVILLE
5511225,551122500012, RUE DE L EGLISE,80132,CAMBRON
5511357,551135700013,27 RUE MARECHAL FOCH,80100,ABBEVILLE
5511415,551141500019,11 RUE DE LA REPUBLIQUE,80510,LONGPRE-LES-CORPS-SAINTS
5511449,551144900018, RUE JACQUES MALLET,80132,HAUTVILLERS-OUVILLE
5511456,551145600013,62 RUE GRANDE,80220,GAMACHES
5511464,551146400017,259 RTE DE ROUEN,80100,ABBEVILLE
5511472,551147200010,24 RUE SAINT VULFRAN,80100,ABBEVILLE
5511530,551153000015,8 RUE GASTON GARRY,80120,RUE
5511688,551168800011,33 RUE VASSEUR,80120,QUEND
5511738,551173800014, RUE NOTRE DAME,80135,SAINT-RIQUIER
5511845,551184500017,10 RUE DU GENERAL LECLERC,80550,LE CROTOY
5511944,551194400018,,80570,DARGNIES
5512025,551202500015, RUE MARECHAL FOCH,80100,ABBEVILLE
5512066,551206600019,3 RUE FERDINAND BUISSON,80210,FEUQUIERES-EN-VIMEU
5512231,551223100019,,80150,LE BOISLE
5512363,551236300010,,80132,LE TITRE
5512447,551244700011, RUE ROGER SALENGRO,80210,FEUQUIERES-EN-VIMEU
5512645,551264500010, RUE DE L EGLISE,80140,HUPPY
5512678,551267800011, PL DU MONUMENT,80550,LE CROTOY
5512686,551268600014,8 RUE DE LA PORTE DU PONT,80550,LE CROTOY
5512710,551271000012,9 RTE D ABBEVILLE,80135,SAINT-RIQUIER
5512728,551272800014, RUE DE MALADRERIE,80150,YVRENCHEUX
5515309,551530900010, RUE D ABBEVILLE,80120,QUEND
5520028,552002800019, RUE AMBROISE CROIZAT,80570,DARGNIES
5520036,552003600012,220 RUE DE MENCHECOURT,80100,ABBEVILLE
5520077,552007700016,13 RUE GAMBETTA,80210,FEUQUIERES-EN-VIMEU
5520119,552011900016,74 BD DE LA PORTELETTE,80100,ABBEVILLE
5520119,552011900024,27 RUE LEDIEN,80100,ABBEVILLE
5520119,552011900032,,80870,MOYENNEVILLE
5520119,552011900040,,80490,BAILLEUL
5520119,552011900057,17 RUE LEDIEN,80100,ABBEVILLE
5520135,552013500012,253 RUE DE MENCHECOURT,80100,ABBEVILLE
5520135,552013500020,32 PL DE LA GARE - LILLE,59800,LILLE
5520135,552013500038,70 RUE DE LAUSANNE,1220,DIVONNE-LES-BAINS
5520176,552017600016,50 RUE PASTEUR,80210,FEUQUIERES-EN-VIMEU
5520176,552017600032, ZONE DES HAYETTES,80210,CHEPY
5520200,552020000014,4 RUE PIERRE CURIE,80220,GAMACHES
5520234,552023400021, ZONE INDUSTRIELLE,80210,FEUQUIERES-EN-VIMEU
5520242,552024200016,3 RUE DU 43 RIC,80510,LONGPRE-LES-CORPS-SAINTS
5520242,552024200032,55 BD DE SEBASTOPOL,75001,PARIS 1
5520242,552024200040,88 RUE ROBESPIERRE,93100,MONTREUIL
5520242,552024200057,14 RUE LESAULT,93500,PANTIN
5520242,552024200065,14 RUE LESAULT,93500,PANTIN
5520242,552024200073,1 AV ALBERT EINSTEIN,78190,TRAPPES
5520242,552024200081,4 RUE DU 43 EME RIC,80510,LONGPRE-LES-CORPS-SAINTS
5520259,552025900010, CHS DU BOIS,80100,ABBEVILLE
5520309,552030900013, RUE MARECHAL FOCH,80100,ABBEVILLE
5520325,552032500019,12 RUE HENRI BARBUSSE,80570,DARGNIES
5520325,552032500027,36 AV JUNOT,75018,PARIS 18
5520408,552040800047,52 RUE DE LA BIENFAISANCE,75008,PARIS 8
5520408,552040800054,17 RUE DE LA BAUME,75008,PARIS 8
5520416,552041600016,60 QUAI DE LA POINTE,80100,ABBEVILLE
5520424,552042400010, RUE JOSSE VAN ROBAIS,80100,ABBEVILLE
5520432,552043200013,58 RUE GRANDE,80220,GAMACHES
5520440,552044000016,2 RUE SAINT GILLES,80100,ABBEVILLE
5520465,552046500039, RUE DE L HOMMELET,59100,ROUBAIX
5520507,552050700012, MOU SAINT JEAN,80120,RUE
5540034,554003400013, PL GENERAL DE GAULLE,4000,DIGNE-LES-BAINS
5540083,554008300010, RUE 4 COINS,4500,RIEZ
5540091,554009100013, AV DE LA LIBERATION,4200,SISTERON
5540125,554012500019, PL JEAN JAURES,4160,CHATEAU-ARNOUX-SAINT-AUBAN
5540273,554027300025,7 PL BERAUD,4330,BARREME
5540307,554030700013, HAM LE SAUZE,4400,ENCHASTRAYES
5540315,554031500016,44 BD GASSENDI,4000,DIGNE-LES-BAINS
5540349,554034900015, RUE DES COURTILS,4360,MOUSTIERS-SAINTE-MARIE
5540372,554037200017,2 PL DE L HORLOGE,4200,SISTERON
5540380,554038000010,49 BD GASSENDI,4000,DIGNE-LES-BAINS
5540422,554042200010,9 ALL ROMAIN SELSIS,4700,ORAISON
5540448,554044800015,,4350,MALIJAI
5540455,554045500010, LE VILLAGE,4350,MALIJAI
5540497,554049700012,47 RUE MANUEL,4400,BARCELONNETTE
5540539,554053900029, PL FREDERIC MISTRAL,4210,VALENSOLE
5540547,554054700014,,4120,CASTELLANE
5540554,554055400010, RUE DE LA GRANDE FONTAINE,4210,VALENSOLE
5540612,554061200016, LE CYRNOS,4200,SISTERON
5540646,554064600014, PL MARIUS SAUVAIRE,4120,CASTELLANE
5540661,554066100021,34 BD GASSENDI,4000,DIGNE-LES-BAINS
5540828,554082800018,6 PL DE LA MAIRIE,4200,SISTERON
5540836,554083600011, GRAND RUE,4210,VALENSOLE
5540844,554084400015,,4500,QUINSON
5540869,554086900012,7 RUE SAUNERIE,4200,SISTERON
5540885,554088500018, PL CLEMENT PLANE,4700,ORAISON
5540901,554090100013,,4360,MOUSTIERS-SAINTE-MARIE
5540968,554096800012,7 RUE CAPITOUL,4000,DIGNE-LES-BAINS
5540976,554097600015, BD GASSENDI,4000,DIGNE-LES-BAINS
5541016,554101600019, LES FERREOLS,4000,DIGNE-LES-BAINS
5541032,554103200016,,4140,AUZET
5541040,554104000019,,4530,LA CONDAMINE-CHATELARD
5541065,554106500016,,4140,SEYNE
5541073,554107300010, RTE NATIONALE 96,4600,CHATEAU-ARNOUX-SAINT-AUBAN
5541123,554112300013,,4170,THORAME-HAUTE
5541206,554120600016, RUE DU MILIEU,4320,ENTREVAUX
5541206,554120600024, QUA LE RAGOT,4320,ENTREVAUX
5541248,554124800018,,4250,LE CAIRE
5541255,554125500013, LE VERLAINE,4800,GREOUX-LES-BAINS
5541263,554126300017,,4370,BEAUVEZER
5541305,554130500016, GAUDEISSARD,4340,MEOLANS-REVEL
5541347,554134700018,,4500,MONTAGNAC-MONTPEZAT
5541347,554134700026,,4500,RIEZ
5541362,554136200017,,4700,ORAISON
5541412,554141200010,2 C ARCS,4000,DIGNE-LES-BAINS
5541438,554143800023, RUE DU VALLON DE FARINE,4000,DIGNE-LES-BAINS
5541495,554149500015,,4240,ANNOT
5541529,554152900011,,4170,SAINT-ANDRE-LES-ALPES
5541545,554154500017,,4360,MOUSTIERS-SAINTE-MARIE
5541552,554155200013, HOTEL DU VERDON,4370,BEAUVEZER
5541552,554155200021, L'AULAPIE,4260,ALLOS
5541552,554155200039, PISTE DE L'AIGUILLE,4260,ALLOS
5541560,554156000016,37 RUE MANUEL,4400,BARCELONNETTE
5541610,554161000035, RUE DES CORDELIERS,4200,SISTERON
5541669,554166900015, SAINT CHRISTOPHE,4000,DIGNE-LES-BAINS
5541677,554167700018,20 RUE MANUEL,4400,BARCELONNETTE
5541685,554168500011,15 RUE DE L ANCIENNE MAIRIE,4000,DIGNE-LES-BAINS
5541701,554170100016,,4530,LA CONDAMINE-CHATELARD
5541735,554173500014,35 BD GASSENDI,4000,DIGNE-LES-BAINS
5541750,554175000013,,4370,COLMARS
5541776,554177600018,,4170,SAINT-ANDRE-LES-ALPES
5541842,554184200018, RUE DE LA GRANDE FONTAINE,4000,DIGNE-LES-BAINS
5541867,554186700023, QUAI DES 4 CHEMINS,83460,LES ARCS
5541909,554190900015, BD REPUBLIQUE,4190,LES MEES
5541982,554198200020,32 BD GASSENDI,4000,DIGNE-LES-BAINS
5542113,554211300013, SAUZE,4400,ENCHASTRAYES
5542162,554216200010,,4340,MEOLANS-REVEL
5542212,554221200013, QUAI LE SAUZE,4400,ENCHASTRAYES
5542261,554226100010, COL ST JEAN,4340,SAINT VINCENT LES FORTS
5542345,554234500011, RUE DE LA MAIRIE,4190,LES MEES
5542394,554239400019,1 PL PIED DE VILLE,4000,DIGNE-LES-BAINS
5542410,554241000013, RUE SAUNERIE,4200,SISTERON
5550017,555001700015, AV DE LA GARE,4200,SISTERON
5550025,555002500018,34 ALL DES FONTAINIERS,4000,DIGNE-LES-BAINS
5550025,555002500026, RUE FERDINAND DE LESSEPS,4000,DIGNE-LES-BAINS
5550058,555005800019, QUA LES BONS ENFANTS,4200,PEIPIN
5550058,555005800027,155 ALL DES PLATANES LES MILLES,13290,AIX-EN-PROVENCE
5550066,555006600012, QUAI DU GAND,4200,SISTERON
5550082,555008200027, ZONE ARTISANALE,4120,CASTELLANE
5550082,555008200035,519 AV ALLENDE SALVADOR,83300,DRAGUIGNAN
5550108,555010800012, PL ARMES,4140,SEYNE
5550116,555011600023, Z I D UVERNET FOURS,4400,UVERNET-FOURS
5550124,555012400019, RTE NATIONALE 96,4600,CHATEAU-ARNOUX-SAINT-AUBAN
5550157,555015700019, PL TAMPINET,4000,DIGNE-LES-BAINS
5550207,555020700012, QU DE LA GARE GAUBERT,4000,DIGNE-LES-BAINS
5550231,555023100012,,4700,ORAISON
5550256,555025600019,,4210,VALENSOLE
5570122,557012200019,85 AV DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC
5570296,557029600011,26 RUE PIERRE VERGNIAUD,44600,SAINT-NAZAIRE
5570338,557033800011, RUE DE REDON,44130,BLAIN
5570361,557036100013,13 AV ALBERT DE MUN,44600,SAINT-NAZAIRE
5570387,557038700018, RUE D ANJOU,44600,SAINT-NAZAIRE
5570445,557044500014,5 AV ROMANO,44500,LA BAULE-ESCOUBLAC
5570452,557045200010, RUE DU PORT,44600,SAINT-NAZAIRE
5570569,557056900011,37 RUE DU GAL DE GAULLE,44290,GUEMENE-PENFAO
5570593,557059300011, BOURG,44750,CAMPBON
5570601,557060100012, LD LE DRESNY,44630,PLESSE
5570650,557065000027,31 BD LEON GAMBETTA,44600,SAINT-NAZAIRE
5570718,557071800014, AV MARECHAL JOFFRE,44500,LA BAULE-ESCOUBLAC
5570783,557078300018,142 AV DE MAZY,44380,PORNICHET
5570882,557088200026,13 RUE DE LA GARE,44740,BATZ-SUR-MER
5570916,557091600022, AV ALBERT DE MUN,44600,SAINT-NAZAIRE
5570957,557095700018, BOURG,44750,CAMPBON
5571104,557110400016, LA MADELEINE,44350,GUERANDE
5571187,557118700011,1 RUE DU PORT,44420,LA TURBALLE
5571195,557119500022, RUE DE LA POSTE,44290,GUEMENE-PENFAO
5571344,557134400018, CITE DE LA CHABOSSIERE,44220,COUERON
5571385,557138500011, AV DES IBIS,44500,LA BAULE-ESCOUBLAC
5571435,557143500014, RUE RENE LAENNEC,44480,DONGES
5571450,557145000013,27 RTE DE NOZAY,44130,BLAIN
5571534,557153400014, PL SIMON,44290,GUEMENE-PENFAO
5571559,557155900011,175 RUE DE PORNICHET,44600,SAINT-NAZAIRE
5571591,557159100014, RUE AUGUSTE BAPTISTE LECHAT,44600,SAINT-NAZAIRE
5571641,557164100017, LD LA FOLAINE,44360,CORDEMAIS
5571674,557167400018, BOURG,44290,PIERRIC
5571682,557168200011,24 RUE DE NANTES,44260,SAVENAY
5571708,557170800014,2 RUE SAINT MICHEL,44350,GUERANDE
5571716,557171600017, PL SIMON,44290,GUEMENE-PENFAO
5571781,557178100011,98 AV DE LA REPUBLIQUE,44600,SAINT-NAZAIRE
5571799,557179900013, BOURG,44360,VIGNEUX-DE-BRETAGNE
5571807,557180700014,1 AV DU VICE AMIRAL HALGAN,44480,DONGES
5571823,557182300011, RUE DE LA FORET,44130,BLAIN
5571831,557183100014, BOURG,44160,SAINTE-ANNE-SUR-BRIVET
5571880,557188000011,10 RUE DU GENERAL LECLERC,44510,LE POULIGUEN
5571930,557193000014,2 PL SAINTE ANNE,44350,GUERANDE
5571955,557195500011,6 RUE DE VERDUN,44160,PONTCHATEAU
5571971,557197100018, LD BESLON,44350,GUERANDE
5572029,557202900014,11 RUE DE BARDOUX,44130,BOUVRON
5572037,557203700017, RUE JULES VERNE,44600,SAINT-NAZAIRE
5572086,557208600014, LD CRX LOURMEL,44460,FEGREAC
5572102,557210200019,4 Q HERVE RIELLE,44490,LE CROISIC
5572110,557211000012,15 AV DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC
5572185,557218500014, BD DE LA LIBERATION,44220,COUERON
5572193,557219300018, RUE DU CHATEAU,44130,BLAIN
5572235,557223500017,2 RUE DES CORDIERS,44490,LE CROISIC
5572268,557226800018, RUE MARCEL SEMBAT,44600,SAINT-NAZAIRE
