,siren,siret,adresse,postcode,city,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
45,5420021,542002100023,RUE+TUROLD,76630,ENVERMEU,49.89922,1.261251,Rue Turold 76630 Envermeu,0.5023545454545454,,street,76235_0142,,Rue Turold,Rue Turold,76630,Envermeu,"76, Seine-Maritime, Normandie",76235,,,,ok
46,5420021,542002100031,134.0+RUE+HENRI BARBUSSE,80130,FRIVILLE-ESCARBOTIN,50.085953,1.54476,Rue Henri Barbusse 80130 Friville-Escarbotin,0.5931555417185553,,street,80368_0640,,Rue Henri Barbusse,Rue Henri Barbusse,80130,Friville-Escarbotin,"80, Somme, Hauts-de-France",80368,,,,ok
47,5420021,542002100049,52.0+RUE+VENTOSE,80100,ABBEVILLE,50.103007,1.862497,Rue Ventose 80100 Abbeville,0.4866184297520661,,street,80001_2235,,Rue Ventose,Rue Ventose,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
48,5420021,542002100056,21.0+B+BD+DES PRES,80100,ABBEVILLE,50.100315,1.832247,Boulevard des Prés 80100 Abbeville,0.40598125874125873,0.2828493901035673,street,80001_1770,,Boulevard des Prés,Boulevard des Prés,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
49,5420039,542003900017,3.0+PL+DU PILORI,80100,ABBEVILLE,50.10752,1.83545,Place du Pilori 80100 Abbeville,0.456499969183359,,street,80001_1560,,Place du Pilori,Place du Pilori,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
50,5420047,542004700010,114.0+CHS+MARCADE,80100,ABBEVILLE,50.111441,1.82887,Chaussée Marcadé 80100 Abbeville,0.4106267099567099,,street,80001_1240,,Chaussée Marcadé,Chaussée Marcadé,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
51,5420047,542004700028,2.0+RIVE DROITE DE LA SOMME,80100,ABBEVILLE,50.113572,1.808125,Rive Droite de la Somme 80100 Abbeville,0.5814941597796143,0.5312496139476961,street,80001_2080,,Rive Droite de la Somme,Rive Droite de la Somme,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
52,5420054,542005400024,54.0+RUE+DES ECOLES,80970,SAILLY-FLIBEAUCOURT,50.181137,1.769382,Rue des Ecoles 80970 Sailly-Flibeaucourt,0.5675194652406416,,street,80692_0076,,Rue des Ecoles,Rue des Ecoles,80970,Sailly-Flibeaucourt,"80, Somme, Hauts-de-France",80692,,,,ok
53,5420070,542007000020,2.0+VOIE NOUVELLE,80100,ABBEVILLE,50.111298,1.813844,Voie Nouvelle 80100 Abbeville,0.5014236363636363,0.3467584848484848,street,80001_2279,,Voie Nouvelle,Voie Nouvelle,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
54,5420088,542008800014,3.0+RUE+DES LINGERS,80100,ABBEVILLE,50.106833,1.834514,Rue des Lingers 80100 Abbeville,0.5264057993730408,,street,80001_1190,,Rue des Lingers,Rue des Lingers,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
55,5420104,542010400019,13.0+PL+MAX LEJEUNE,80100,ABBEVILLE,50.105968,1.833641,Place Max Lejeune 80100 Abbeville,0.4687308211143694,,street,80001_0970,,Place Max Lejeune,Place Max Lejeune,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
56,5420120,542012000015,RUE+DE LA FONTAINE,80120,RUE,50.274746,1.674007,15 Rue de la Fontaine 80120 Rue,0.5789302673796791,0.45017217468805704,housenumber,80688_0420_00015,15,15 Rue de la Fontaine,Rue de la Fontaine,80120,Rue,"80, Somme, Hauts-de-France",80688,,,,ok
57,5420120,542012000023,12.0+RTE+DE MONTREUIL,62180,RANG-DU-FLIERS,50.418101,1.649825,Route de Montreuil 62180 Rang-du-Fliers,0.5158526203208555,,street,62688_0420,,Route de Montreuil,Route de Montreuil,62180,Rang-du-Fliers,"62, Pas-de-Calais, Hauts-de-France",62688,,,,ok
58,5420120,542012000031,RTE+NATIONALE,62140,MARCONNELLE,50.374723,2.013935,Route Nationale 62140 Marconnelle,0.513253572567783,0.46212985096870335,street,62550_0050,,Route Nationale,Route Nationale,62140,Marconnelle,"62, Pas-de-Calais, Hauts-de-France",62550,,,,ok
59,5420120,542012000049,RUE+DE LA GARE,62180,CONCHIL-LE-TEMPLE,50.362968,1.662478,Rue de la Gare 62180 Conchil-le-Temple,0.5927121609538002,0.49351573948439614,street,62233_0059,,Rue de la Gare,Rue de la Gare,62180,Conchil-le-Temple,"62, Pas-de-Calais, Hauts-de-France",62233,,,,ok
60,5420146,542014600010,PL+DU GENERAL LECLERC,80120,RUE,50.272544,1.668688,Place du Général Leclerc 80120 Rue,0.4994972727272727,,street,80688_0500,,Place du Général Leclerc,Place du Général Leclerc,80120,Rue,"80, Somme, Hauts-de-France",80688,,,,ok
61,5420153,542015300016,RUE+MARECHAL FOCH,80100,ABBEVILLE,50.105376,1.833987,16 Rue du Maréchal Foch 80100 Abbeville,0.5997866718027733,,housenumber,80001_1260_00016,16,16 Rue du Maréchal Foch,Rue du Maréchal Foch,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
62,5420187,542018700014,CHS+D HOCQUET,80100,ABBEVILLE,50.107469,1.825546,Chaussée d'Hocquet 80100 Abbeville,0.46710451463790437,,street,80001_0950,,Chaussée d'Hocquet,Chaussée d'Hocquet,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
63,5420195,542019500033,AU CHEMIN DE LA RIVIERE,80140,RAMBURES,49.954945,1.707059,Au Chemin de la Rivière 80140 Rambures,0.5764030700447094,,street,80663_B014,,Au Chemin de la Rivière,Au Chemin de la Rivière,80140,Rambures,"80, Somme, Hauts-de-France",80663,,,,ok
64,5420245,542024500010,2.0+BD+VAUBAN,80100,ABBEVILLE,50.105364,1.839994,Boulevard Vauban 80100 Abbeville,0.40850121212121215,,street,80001_2210,,Boulevard Vauban,Boulevard Vauban,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
65,5420260,542026000019,RUE+JOLIOT CURIE,80570,DARGNIES,50.044256,1.524773,19 Rue Joliot Curie 80570 Dargnies,0.597980101010101,,housenumber,80235_0240_00019,19,19 Rue Joliot Curie,Rue Joliot Curie,80570,Dargnies,"80, Somme, Hauts-de-France",80235,,,,ok
66,5420278,542027800011,,80270,ALLERY,49.964032,1.89614,Allery,0.3111724675324675,0.2914261853832442,municipality,80019,,Allery,,80270,Allery,"80, Somme, Hauts-de-France",80019,,,,ok
67,5440011,544001100012,AV+DE VERDUN,4000,DIGNE-LES-BAINS,44.08682,6.213886,12 Avenue de Verdun 04000 Digne-les-Bains,0.5350895670995671,,housenumber,04070_1680_00012,12,12 Avenue de Verdun,Avenue de Verdun,04000,Digne-les-Bains,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04070,,,,ok
68,5440078,544007800011,,4370,COLMARS,48.081502,7.352569,Colmar,0.33128155844155843,0.30206069264069263,municipality,68066,,Colmar,,68000,Colmar,"68, Haut-Rhin, Grand Est",68066,,,,ok
69,5440110,544011000038,CRS+PECHINEY,4600,CHATEAU-ARNOUX-SAINT-AUBAN,44.071716,5.994328,Cours Péchiney 04600 Château-Arnoux-Saint-Auban,0.5664549494949495,0.5249082063882062,street,04049_0585,,Cours Péchiney,Cours Péchiney,04600,Château-Arnoux-Saint-Auban,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04049,,,,ok
70,5440110,544011000053,13.0+BD+GASSENDI,4000,DIGNE-LES-BAINS,44.09366,6.237301,Boulevard Gassendi 04000 Digne-les-Bains,0.45552509881422926,0.3545629933481153,street,04070_0710,,Boulevard Gassendi,Boulevard Gassendi,04000,Digne-les-Bains,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04070,,,,ok
71,5440110,544011000061,6.0+RUE+FIRMIN GUICHARD,4000,DIGNE-LES-BAINS,44.085742,6.228265,rue firmin guichard 04000 Digne-les-Bains,0.5707131016042779,,street,04070_0630,,rue firmin guichard,rue firmin guichard,04000,Digne-les-Bains,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04070,,,,ok
72,5440136,544013600017,,4500,QUINSON,43.710093,6.035837,Quinson,0.30014141414141415,0.26135313131313126,municipality,04158,,Quinson,,04500,Quinson,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04158,,,,ok
73,5440185,544018500014,,4250,TURRIERS,44.39538,6.174527,Turriers,0.31643484029484026,0.2473790538033395,municipality,04222,,Turriers,,04250,Turriers,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04222,,,,ok
74,5440219,544021900011,,4210,VALENSOLE,43.8345,5.943815,Valensole,0.3426366028708134,0.31124099173553715,municipality,04230,,Valensole,,04210,Valensole,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04230,,,,ok
75,5440235,544023500017,,4170,THORAME-BASSE,44.093652,6.505531,Thorame-Basse,0.38746718614718617,0.3327337062937063,municipality,04218,,Thorame-Basse,,04170,Thorame-Basse,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04218,,,,ok
76,5440409,544040900018,RUE+CHAPUZIE,4200,SISTERON,44.19689,5.945511,18 Rue Chapuzie 04200 Sisteron,0.5614281818181819,,housenumber,04209_0230_00018,18,18 Rue Chapuzie,Rue Chapuzie,04200,Sisteron,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04209,,,,ok
77,5440508,544050800017,RTE+NEUVE,4160,CHATEAU-ARNOUX-SAINT-AUBAN,44.080801,5.996443,La Bastide Neuve 04160 Château-Arnoux-Saint-Auban,0.4854330303030303,0.4658758457997698,locality,04049_B005,,La Bastide Neuve,,04160,Château-Arnoux-Saint-Auban,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04049,,,,ok
78,5440557,544055700014,PL+DES RECOLLETS,4000,DIGNE-LES-BAINS,44.091832,6.239536,Place des Recollets 04000 Digne-les-Bains,0.5108059228650137,,street,04070_v0om9q,,Place des Recollets,Place des Recollets,04000,Digne-les-Bains,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04070,,,,ok
79,5440565,544056500017,PL+DU GENERAL DE GAULLE,4200,SISTERON,44.195623,5.943625,Place du Général de Gaulle 04200 Sisteron,0.5134559228650137,,street,04209_0648,,Place du Général de Gaulle,Place du Général de Gaulle,04200,Sisteron,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04209,,,,ok
80,5440649,544064900019,RUE+LOGIS,4800,SAINT-MARTIN-DE-BROMES,43.769576,5.946084,Rue du Logis 04800 Saint-Martin-de-Brômes,0.5254959440559439,0.23065272727272726,street,04189_0012,,Rue du Logis,Rue du Logis,04800,Saint-Martin-de-Brômes,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04189,,,,ok
81,5440672,544067200011,,4120,CASTELLANE,43.844009,6.489286,Castellane,0.35446214452214453,0.3155869960474308,municipality,04039,,Castellane,,04120,Castellane,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04039,,,,ok
82,5440698,544069800016,,4370,COLMARS,47.212028,-1.546352,Rue de Colmar 44000 Nantes,0.30206069264069263,0.3011750505050505,street,44109_2020,,Rue de Colmar,Rue de Colmar,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,,ok
83,5440722,544072200014,,4120,CASTELLANE,43.844009,6.489286,Castellane,0.35446214452214453,0.3155869960474308,municipality,04039,,Castellane,,04120,Castellane,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04039,,,,ok
84,5440755,544075500014,,4190,LES MEES,44.00598,5.945759,Les Mées,0.32741665847665846,0.23658727272727267,municipality,04116,,Les Mées,,04190,Les Mées,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04116,,,,ok
85,5440789,544078900013,,4530,LA CONDAMINE-CHATELARD,44.462006,6.749425,Cd900 04530 La Condamine-Châtelard,0.4839499173553718,0.48144720142602493,street,04062_7qgec4,,Cd900,Cd900,04530,La Condamine-Châtelard,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04062,,,,ok
86,5440797,544079700016,,4700,ORAISON,43.904657,5.914681,Oraison,0.3123150505050505,0.25175708719851575,municipality,04143,,Oraison,,04700,Oraison,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04143,,,,ok
87,5440813,544081300029,LE FOREST DE BAYONS,4250,LA MOTTE-DU-CAIRE,44.343972,6.02763,Traverse des Balcons 04250 La Motte-du-Caire,0.3838212587412587,0.3543808400460299,street,04134_0017,,Traverse des Balcons,Traverse des Balcons,04250,La Motte-du-Caire,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04134,,,,ok
88,5440847,544084700019,,4140,VERDACHES,44.26318,6.345494,Verdaches,0.3249147846889952,0.25003274442538587,municipality,04235,,Verdaches,,04140,Verdaches,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04235,,,,ok
89,5440904,544090400018,HAM+LES BAUMES,4200,MISON,44.233893,5.872255,Les Baumes 04200 Mison,0.4011038775510204,0.4011038775510204,locality,04123_tomqe5,,Les Baumes,,04200,Mison,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04123,,,,ok
90,5440938,544093800016,,4200,MISON,44.264117,5.872239,Mison,0.26753807486631015,0.22815223140495866,municipality,04123,,Mison,,04200,Mison,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04123,,,,ok
91,5440987,544098700013,,4500,MONTAGNAC-MONTPEZAT,43.776149,6.102417,Montagnac-Montpezat,0.45796969696969697,0.39624884012539185,municipality,04124,,Montagnac-Montpezat,,04500,Montagnac-Montpezat,"04, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",04124,,,,ok
