restaurant_id,name,cuisine,borough,address,score,lng,lat
50014199,Per Bacco Enoteca & Cucina,Italian,Manhattan,234 East    4 Street 10009,12.0,-73.983149,40.7232879
50014201,Samurai Papa,Other,Brooklyn,32 Varet Street 11206,19.0,-73.943643,40.702732
50014207,Okawa,Japanese,Queens,77-05A 37 Avenue 11372,9.0,-73.8886591,40.7494099
50014211,Cooklyn,Other,Brooklyn,659 Vanderbilt Avenue 11238,13.0,-73.968681,40.677055
50014212,Chicken Shack,Chicken,Queens,36-19 Broadway 11106,12.0,-73.9205391,40.7600014
50014213,Sugardaddy'S,American ,Queens,51-07 27 Street 11101,7.0,-73.9426222,40.7395023
50014220,Hibachi Express Dumpling,Chinese/Japanese,Manhattan,229 1 Avenue 10003,3.0,-73.983079,40.731099
50014223,Aged,American ,Queens,107-04 70 Road 11375,10.0,-73.82064919999999,40.7293337
50014226,El Gran Valle Iv Restaurant,Spanish,Manhattan,1944 Amsterdam Avenue 10032,2.0,-73.942514,40.8326131
50014228,Fattoush,Mediterranean,Brooklyn,509 85 Street 11209,15.0,-74.0253741,40.6219891
50014232,Soho Fried Chicken & Pizzeria,American ,Manhattan,539 6 Avenue 10011,13.0,-92.7293043,41.7461747
50014233,Q'Kachapa,Other,Manhattan,1552 Saint Nicholas Avenue 10040,5.0,-73.9305378,40.8533597
50014235,Healthy Star,Other,Bronx,1609 Mulford Avenue 10461,4.0,-73.835903,40.8439312
50014239,Hungry Bird,Indian,Bronx,980 Morris Avenue 10456,11.0,-73.916853,40.8284184
50014242,Asia Dog,American ,Brooklyn,899 Bergen Street 11238,5.0,-73.95751469999999,40.677325
50014243,Re.Union,Café/Coffee/Tea,Brooklyn,544 Union Avenue 11211,10.0,-73.951784,40.7170413
50014244,Chika,Mexican,Brooklyn,814 Nostrand Avenue 11216,35.0,-73.9504177,40.6708567
50014246,Amorino,"Ice Cream, Gelato, Yogurt, Ices",Manhattan,162 8 Avenue 10011,3.0,-74.000372,40.742242
50014249,Chadbourne & Parke,American ,Manhattan,1301 6 Avenue 10019,10.0,-78.3969541,40.5114481
